tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
I1TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	ADE16	623.5	-1.158	0.390918588985571	2.196	-0.062	12.264	0.057	
HighTLE	Low	NA	NA	Int1.mRNA	NA	ADE17	3689	14.516	0.461754164470182	3.244	0.385	1.236	NA	
I1TLE	Low	NA	NA	Int1.mRNA	NA	ADE2	707	1.658	0.391719040830254	3.309	0.11	0.976	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	ADE3	2692	0.771	0.453738085807143	2.774	0.024	5.136	NA	
I1TLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	High.mRNA	Int1.mRNA	ADE4	416	-0.467	0.41672570568958	5.827	-0.045	12.854	0.045	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	Int2.mRNA	ADE6	2292	4.212	0.434148231146553	1.917	0.075	2.907	0.17	
I2TLE	Low	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	ADE8	408	0.077	0.375793345470755	2.747	-0.07	0.847	0.015	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ADH3	195	5.223	0.444864017754178	5.261	-0.002	4.289	0.359	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	ADH6	564	5.834	0.44534940243271	8.738	-0.073	17.344	0.21	
I1TLE	Intermediate2	NA	NA	Low.mRNA	NA	ADI1	103	0.59	0.3830255844542	0.987	-0.023	4.591	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ADK1	3870.5	-2.535	0.559436751825401	14.713	-0.105	42.01	0.182	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	ADO1	2341	-0.596	0.489358705822266	12.478	-0.085	4.347	0.639	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Int1.mRNA	ADP1	207.5	-0.3	0.333875355543121	0.419	-0.147	11.711	0.004	
LowTLE	High	NA	NA	Low.mRNA	Low.mRNA	AFG1	111	2.246	0.326466973736967	0.671	-0.11	16.709	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	AFG2	99.5	-2.008	0.350042337792548	1.009	-0.076	8.62	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Low.mRNA	AFG3	123.5	-0.666	0.360724857571123	2.029	0.016	5.282	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	AGA1	93	22.313	0.333611606740617	0.408	0.885	0.422	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	AGE1	115	0.687	0.32810904568765	0.719	-0.183	202.145	NA	
LowTLE	High	NA	NA	Int1.mRNA	NA	AGE2	144.5	-0.171	0.344828062694558	2.019	-0.101	14.9	NA	
I1TLE	Low	NA	NA	Int1.mRNA	Int1.mRNA	AGP1	550	21.617	0.411947564237583	1.994	0.487	1.138	NA	
LowTLE	Low	NA	NA	Low.mRNA	Low.mRNA	AGP2	167.5	3.099	0.345005492852801	0.525	0.817	0.406	NA	
I1TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	AHA1	812.5	0.627	0.397682463403759	2.518	0.172	2.412	0.053	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	AHP1	22181.5	3.409	0.528165011784078	158.275	0.081	10	0.462	
LowTLE	Low	NA	NA	Int1.mRNA	NA	AIM20	87.5	-1.007	0.334926022962161	2.912	0.18	0.669	NA	
I2TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	AIM21	137.5	-0.149	0.362243731118898	0.774	0.084	1.96	0.035	
I1TLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	Int2.mRNA	NA	AIM29	103	0.035	0.381935163661069	1.399	0.004	3.661	0.027	
HighTLE	Low	NA	NA	Int2.mRNA	NA	AIM41	164	4.057	0.445401069719873	1.368	-0.023	1.34	NA	
I2TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int2.mRNA	NA	AIM45	682.5	-0.604	0.365610403647789	1.769	0.024	2.742	0.051	
I1TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int2.mRNA	NA	AIM7	102	-0.819	0.412883167749819	1.045	-0.027	4.914	0.072	
I1TLE	Low	NA	NA	Int2.mRNA	NA	AIP1	760.5	0.085	0.385834478225855	1.644	-0.078	0.207	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	AKL1	155	0.148	0.362865693102378	0.669	-0.068	0.648	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	AKR1	333	-0.417	0.325834267357105	1.289	0.049	4.188	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	High.mRNA	ALA1	3562	-1.156	0.488903438268217	3.431	-0.096	1.173	0.361	
HighTLE	Intermediate1	IntProtSyn	LowProtSyn.mRNA	High.mRNA	NA	ALB1	434.5	0.275	0.43757424901503	5.12	-0.041	6.955	0.011	
HighTLE	Intermediate2	NA	NA	Int2.mRNA	NA	ALD4	471.5	16.761	0.455041228703819	1.378	0.051	2.623	NA	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	Low.mRNA	ALD5	477	7.831	0.424290258600903	3.658	0.189	2.554	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ALD6	23681	1.491	0.534487986216705	20.483	0.49	1.491	1.815	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	ALE1	147	1.864	0.390549827775342	2.813	-0.028	2.661	NA	
LowTLE	NA	NA	NA	NA	Low.mRNA	ALG1	148.5	3.418	0.348427758166336	NA	NA	NA	NA	
I2TLE	High	NA	NA	Int2.mRNA	Int1.mRNA	ALG11	121.5	1.237	0.373580700817015	1.798	-0.126	69.528	NA	
I1TLE	Low	NA	NA	Low.mRNA	Low.mRNA	ALG2	65.5	-0.68	0.385918250622886	0.747	-0.08	1.488	NA	
I1TLE	Intermediate1	NA	NA	Int2.mRNA	Int2.mRNA	ALG5	269.5	-0.639	0.404131272669525	1.601	-0.104	13.235	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	ALG9	223	0.611	0.357153254286456	1.544	-0.071	1.144	NA	
I1TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	ALO1	541	4.921	0.409251414255586	2.793	-0.055	0.469	0.098	
I2TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	ALR1	79	-2.412	0.350946641715016	0.6	0.01	0.595	NA	
I1TLE	Intermediate1	NA	NA	Low.mRNA	Int1.mRNA	AMD1	301.5	-0.813	0.389190771392783	1	-0.071	7.46	NA	
NA	Low	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	AML1	496.5	-0.27	NA	3.125	-0.04	0.813	0.031	
HighTLE	Low	NA	NA	Low.mRNA	NA	ANB1	151.5	5.87	0.574955134167341	0.608	0.523	0.469	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	ANP1	133.5	-1.345	0.377210965012626	2.49	0.007	5.797	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	ANT1	119	1.431	0.362750955963137	1.136	-0.195	110.661	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	AOS1	101.5	-0.83	0.370065496259769	1.023	-0.099	40.191	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	APA1	1060	0.356	0.44884931195323	5.719	-0.097	0.045	0.177	
LowTLE	High	NA	NA	Low.mRNA	Int2.mRNA	APC11	133	-2.503	0.349144962214948	0.874	-0.142	144.699	NA	
LowTLE	Low	NA	NA	Int1.mRNA	NA	APD1	166	4.681	0.344591701244005	2.25	-0.084	0.029	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Low.mRNA	NA	APE2	364.5	2.816	0.421703559361904	0.815	0.088	1.011	0.2	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	APL1	162	-0.179	0.368078678514041	0.721	-0.123	51.039	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	APL2	164	-2.756	0.364351123701352	1.057	-0.057	1.045	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	APL3	73.5	-2.408	0.35324717371699	0.253	-0.052	0.928	NA	
I1TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Low.mRNA	APL5	249	0.136	0.383252077527751	1.197	0.084	2.512	0.015	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	APL6	209	-0.415	0.364276868008406	0.882	-0.024	4.335	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Low.mRNA	APM1	165.5	-1.003	0.351009056699682	1.646	-0.086	0.394	NA	
LowTLE	Intermediate2	NA	NA	Int1.mRNA	Int1.mRNA	APM3	63	-3.524	0.346040968877912	2.598	0.246	2.188	NA	
I1TLE	Low	NA	NA	Int2.mRNA	NA	APQ12	222	3.436	0.39885011924739	1.747	-0.072	0.878	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	APS3	226.5	0.99	0.359524424914615	1.144	-0.042	9.015	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	APT1	878.5	2.11	0.446536159923583	11.108	-0.118	58.493	0.25	
I1TLE	High	NA	NA	Int2.mRNA	Int1.mRNA	APT2	88	0.273	0.380775448254161	1.736	-0.184	96.982	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	AQR1	108	4.764	0.351014635179182	0.891	0.184	0.589	NA	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	ARA1	100.5	9.474	0.423056404297508	3.641	0.06	0.257	0.364	
HighTLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	ARB1	2589	-0.806	0.482786854834824	12.146	-0.056	17.66	0.03	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ARC1	2485.5	-1.663	0.509255981590902	12.993	-0.15	43.495	0.13	
LowTLE	High	NA	NA	High.mRNA	High.mRNA	ARC15	1445	-2.716	0.328036801069715	4.33	-0.069	15.12	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Int1.mRNA	ARC19	308.5	0.998	0.375629554980303	0.493	-0.167	10.237	NA	
I1TLE	Low	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	ARD1	336	0.729	0.409468913900735	3.316	-0.067	0.012	0.001	
I1TLE	Low	NA	NA	Low.mRNA	NA	ARE2	82	1.602	0.402155763841018	0.954	0.111	1.695	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	ARF1	4335.5	-4.71	0.502653606053374	26.712	-0.072	42.277	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	ARF2	164	1.968	0.486875910241004	6.953	-0.019	4.008	NA	
I2TLE	High	NA	NA	Int2.mRNA	Int1.mRNA	ARF3	285.5	1.72	0.360348786975432	1.121	-0.109	31.645	NA	
HighTLE	Low	NA	NA	Int2.mRNA	Low.mRNA	ARG1	90.5	13.426	0.50138638601539	1.71	1.129	0.143	NA	
I1TLE	Low	NA	NA	Int2.mRNA	Int2.mRNA	ARG4	148	2.813	0.415526131438323	1.401	0.614	0.752	NA	
I1TLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	ARI1	215	2.504	0.418148816614994	2.525	-0.068	12.546	0.261	
I1TLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	ARL1	408	-0.75	0.388856932844177	4.278	-0.087	0.169	NA	
I1TLE	Intermediate2	NA	NA	Low.mRNA	Int1.mRNA	ARO1	632	1.841	0.410054906856915	0.888	0.041	3.027	NA	
HighTLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	ARO2	655	-2.073	0.466047014093198	10.332	-0.105	3.278	0.031	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	ARO3	548	0.13	0.444963549353843	6.347	0.054	5.939	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	ARO4	1945.5	3.33	0.521966940524885	13.202	-0.031	14.7	0.457	
HighTLE	NA	HighProtSyn	I1ProtSyn.mRNA	NA	Int2.mRNA	ARO7	478.5	-0.858	0.424029300940787	NA	NA	NA	0.091	
I1TLE	High	NA	NA	High.mRNA	NA	ARO8	1135	-0.32	0.416084498203807	7.624	-0.072	16.797	NA	
I1TLE	Low	NA	NA	Low.mRNA	NA	ARO9	222	18.888	0.387148434169615	0.557	0.502	0.676	NA	
I1TLE	High	NA	NA	Int2.mRNA	NA	ARP5	92.5	-1.931	0.383609638415534	1.935	-0.156	541.41	NA	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Low.mRNA	ARP7	258	-1.654	0.366252765820212	1.516	-0.009	6.04	0.006	
HighTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	High.mRNA	NA	ARX1	748	-0.21	0.421414394009449	6.237	0.017	6.936	0.003	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Low.mRNA	Int1.mRNA	ASF1	205	5.663	0.402204233669841	0.799	0.48	0.464	0.143	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	ASG1	73	-0.691	0.351579002725543	0.551	-0.097	13.463	NA	
LowTLE	Low	NA	NA	Int1.mRNA	NA	ASK1	192.5	-0.092	0.316040709416828	2.782	0.041	1.231	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	ASM4	173	1.862	0.350294369378099	0.933	0.018	3.101	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	ASN1	3729	0.724	0.474198705432612	7.677	0.153	3.84	NA	
HighTLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	ASN2	2109.5	-1.053	0.460103434591412	9.377	-0.114	2.702	0.106	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Low.mRNA	ATF2	55.5	1.803	0.361679725856896	1.64	0.09	3.287	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	ATG18	86	-1.919	0.345733154923041	0.591	-0.203	31.33	NA	
I1TLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	ATG27	219	0.111	0.385731050931529	2.321	-0.05	10.399	0.05	
LowTLE	Intermediate1	NA	NA	Int1.mRNA	NA	ATO3	158	3.361	0.34781333235681	2.539	0	5.303	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	ATP1	1465.5	8.908	0.51094000735701	10.639	-0.022	12.532	NA	
I1TLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	Int2.mRNA	ATP14	1340.5	5.364	0.415757758896615	NA	NA	NA	0.157	
I1TLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	ATP15	1437.5	4.557	0.38382905152029	4.302	-0.005	6.504	NA	
I1TLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	ATP17	214	7.688	0.408979524093915	4.491	-0.078	11.836	NA	
I2TLE	Intermediate1	NA	NA	High.mRNA	NA	ATP18	198	3.64	0.360294099895523	5.605	-0.028	9.664	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	NA	ATP19	145	2.468	0.421202650716229	3.293	-0.027	6.46	NA	
HighTLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	NA	ATP2	1081	19.155	0.497490092013936	NA	NA	NA	0.377	
HighTLE	Low	NA	NA	Int1.mRNA	High.mRNA	ATP3	939	13.96	0.495212408938147	3.972	-0.089	0.023	NA	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	ATP4	1275.5	15.158	0.460819635525635	5.229	-0.124	1.579	NA	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	ATP5	1220	10.879	0.434710638798026	4.389	-0.11	1.103	NA	
HighTLE	Intermediate1	NA	NA	Low.mRNA	Int2.mRNA	ATP7	233.5	5.471	0.435296951632164	0.576	-0.063	5.048	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	Int2.mRNA	ATX1	89.5	0.368	0.396785621568271	2.122	-0.102	8.914	NA	
LowTLE	Intermediate2	NA	NA	Int1.mRNA	Int2.mRNA	AUR1	324	-0.522	0.3378086162049	2.903	-0.074	1.708	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	AVL9	198	-2.361	0.361817896245285	0.925	-0.021	3.651	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	NA	AVT7	69	1.819	0.334358968280934	1.331	-0.036	5.781	NA	
I2TLE	NA	NA	NA	NA	NA	AXL2	151.5	1.048	0.366974837215092	NA	NA	NA	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	NA	AYR1	121	3.841	0.385590233010639	2.033	-0.038	4.967	NA	
I2TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	High.mRNA	Int2.mRNA	BAP2	2228	1.682	0.378116387835685	4.384	0.072	4.439	0.006	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	BAP3	906.5	-0.369	0.38056975846527	2.895	-0.027	6.995	0.025	
LowTLE	Low	HighProtSyn	HighProtSyn.mRNA	Low.mRNA	Int1.mRNA	BAR1	226.5	7.086	0.33505377379974	0.372	0.442	0.236	0.184	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	High.mRNA	BAT2	735	15.04	0.420452499256089	3.939	0.235	1.967	NA	
I2TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	BCH1	235.5	-1.879	0.377166498973906	0.993	-0.037	4.301	0.024	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	High.mRNA	NA	BCP1	355	-0.705	0.398129947986275	5.803	-0.038	3.067	0.001	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	BCY1	381.5	3.348	0.386960349450286	2.945	-0.059	0.739	0.11	
I2TLE	High	NA	NA	Int1.mRNA	Int1.mRNA	BDF1	396.5	-0.623	0.360691436742822	2.197	-0.114	28.378	NA	
I2TLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	High.mRNA	Int1.mRNA	BDF2	152	0.071	0.368479779185491	4.956	-0.009	2.311	0.003	
I1TLE	Low	NA	NA	Int1.mRNA	NA	BDH1	536.5	9.758	0.40890027578505	2.032	0.083	0.827	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	BEM1	145.5	0.895	0.370998544035356	1.378	-0.074	2.791	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	BEM2	211	0.16	0.350705797503507	1.147	0.14	2.545	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	BEM3	77	-2.371	0.336195264991949	0.226	-0.151	94.569	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	BEM4	139	1.115	0.326345124319787	0.348	-0.209	5.585	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	NA	BER1	68	1.571	0.321386538185264	1.791	0.006	3.493	NA	
LowTLE	High	NA	NA	Low.mRNA	Int1.mRNA	BET1	112	1.779	0.327460061565156	0.538	-0.187	29.112	NA	
I2TLE	High	NA	NA	Low.mRNA	Int2.mRNA	BET3	100.5	-2.346	0.356363431416208	0.084	-0.426	73.702	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	BFR1	2259	-1.472	0.536484007515439	8.107	-0.148	2.098	0.127	
HighTLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	BFR2	361	-0.435	0.42469541647658	3.132	-0.07	5.874	0.081	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	BIL1	233.5	-2.093	0.346031193851814	0.732	-0.083	5.136	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	BIM1	66.5	-1.532	0.334132701586396	1.134	0.077	2.561	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	BLI1	87	0.778	0.337115415833869	0.525	-0.097	6.089	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	BMH1	3942	-2.556	0.489939237337369	29.48	-0.048	32.366	0.587	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	BMH2	2218.5	-2.019	0.502106085797597	10.621	-0.138	4.206	0.431	
LowTLE	Low	NA	NA	Low.mRNA	NA	BMT6	84.5	-1.764	0.335979560920611	0.399	0.18	0.614	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	BNI1	59	-2.623	0.364239906880711	1.58	0.087	2.872	NA	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	BNI5	240	-1.203	0.359465460329723	0.903	0.024	0.474	0.055	
LowTLE	Low	LowProtSyn	I2ProtSyn.mRNA	Low.mRNA	Int1.mRNA	BOI1	77.5	-0.982	0.349312757175609	0.564	-0.083	0.803	0.032	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	BOI2	147.5	-0.701	0.35001040638899	0.356	-0.124	3.569	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	BPL1	155.5	-0.438	0.327689228500311	0.876	0.106	1.991	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	BRE1	113.5	-0.297	0.351711853780112	1.481	-0.068	2.181	NA	
I1TLE	High	IntProtSyn	LowProtSyn.mRNA	High.mRNA	NA	BRE5	534.5	-0.615	0.413659747603482	5.756	-0.143	33.679	0.006	
I2TLE	Low	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Low.mRNA	BRO1	190.5	-0.466	0.368452261458866	0.733	0.112	0.463	0.004	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	BRX1	573.5	-1.711	0.423484608690466	6.951	-0.034	11.534	NA	
LowTLE	High	NA	NA	Int2.mRNA	Int1.mRNA	BSD2	137	0.074	0.32731090983839	1.531	-0.152	96.637	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	BSP1	71.5	3.787	0.327533211369333	0.777	-0.067	9.723	NA	
LowTLE	High	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	BUD14	185	0.444	0.334052116637719	1.359	-0.11	306.833	0.014	
LowTLE	High	NA	NA	Int2.mRNA	NA	BUD17	64	-1.123	0.305672311173187	1.042	-0.159	346.011	NA	
I2TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	BUD20	282.5	-0.215	0.356743785080368	6.514	-0.076	4.812	0.044	
LowTLE	Low	NA	NA	Int1.mRNA	NA	BUD23	188.5	1.885	0.327326719321597	2.507	-0.035	1.152	NA	
I2TLE	Low	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	BUD27	97.5	-1.423	0.379496492785736	1.517	-0.005	1.419	0.01	
I2TLE	Low	NA	NA	Low.mRNA	NA	BUD31	186.5	-0.403	0.37447039600202	0.918	0.029	1.49	NA	
LowTLE	High	NA	NA	Int2.mRNA	NA	BUD32	96	1.732	0.342160884649159	1.527	-0.156	571.991	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	BUD4	59.5	0.744	0.353820378168157	0.597	0.058	2.474	NA	
I2TLE	High	NA	NA	Low.mRNA	Low.mRNA	BUD6	78.5	-1.755	0.360927722785846	0.489	-0.213	21.699	NA	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	NA	BUG1	209.5	-0.65	0.414045926607219	2.759	-0.142	39.223	0.016	
LowTLE	Low	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	BUR6	252.5	-0.911	0.344279070377807	3.346	0.032	1.443	0.043	
I1TLE	Intermediate2	NA	NA	Low.mRNA	NA	BZZ1	122	-1.818	0.385879117751328	0.303	-0.072	2.446	NA	
I2TLE	Low	NA	NA	Int2.mRNA	NA	CAB1	66	-3.151	0.36033874852197	1.951	-0.057	1.265	NA	
